row,base_tier,n_runs,drop_frac,tier_flip_rate
58,easy,200,0.3333333333333333,0.185
59,hard,200,0.3333333333333333,0.29
60,hard,200,0.3333333333333333,0.0
61,easy,200,0.3333333333333333,0.35
62,hard,200,0.3333333333333333,0.05
63,hard,200,0.3333333333333333,0.2
64,easy,200,0.3333333333333333,0.2
65,hard,200,0.3333333333333333,0.365
66,medium,200,0.3333333333333333,0.17
67,easy,200,0.3333333333333333,0.015
68,medium,200,0.3333333333333333,0.365
69,medium,200,0.3333333333333333,0.335
70,medium,200,0.3333333333333333,0.255
71,medium,200,0.3333333333333333,0.38
72,medium,200,0.3333333333333333,0.29
73,easy,200,0.3333333333333333,0.055
74,hard,200,0.3333333333333333,0.365
75,easy,200,0.3333333333333333,0.395
76,easy,200,0.3333333333333333,0.0
77,easy,200,0.3333333333333333,0.035
78,easy,200,0.3333333333333333,0.075
79,easy,200,0.3333333333333333,0.0
80,easy,200,0.3333333333333333,0.085
81,medium,200,0.3333333333333333,0.395
82,easy,200,0.3333333333333333,0.18
83,medium,200,0.3333333333333333,0.28
84,easy,200,0.3333333333333333,0.315
85,easy,200,0.3333333333333333,0.0
86,medium,200,0.3333333333333333,0.33
87,easy,200,0.3333333333333333,0.51
88,easy,200,0.3333333333333333,0.0
89,easy,200,0.3333333333333333,0.01
90,medium,200,0.3333333333333333,0.27
91,medium,200,0.3333333333333333,0.35
92,hard,200,0.3333333333333333,0.03
93,medium,200,0.3333333333333333,0.44
94,easy,200,0.3333333333333333,0.18
95,medium,200,0.3333333333333333,0.245
96,medium,200,0.3333333333333333,0.445
97,easy,200,0.3333333333333333,0.11
98,hard,200,0.3333333333333333,0.345
99,hard,200,0.3333333333333333,0.405
100,easy,200,0.3333333333333333,0.51
101,hard,200,0.3333333333333333,0.18
102,medium,200,0.3333333333333333,0.41
103,medium,200,0.3333333333333333,0.415
104,easy,200,0.3333333333333333,0.34
105,hard,200,0.3333333333333333,0.045
106,hard,200,0.3333333333333333,0.44
107,hard,200,0.3333333333333333,0.36
108,hard,200,0.3333333333333333,0.08
109,medium,200,0.3333333333333333,0.46
110,hard,200,0.3333333333333333,0.44
111,hard,200,0.3333333333333333,0.14
112,hard,200,0.3333333333333333,0.19
113,hard,200,0.3333333333333333,0.0
114,hard,200,0.3333333333333333,0.025
115,hard,200,0.3333333333333333,0.46
116,hard,200,0.3333333333333333,0.0
117,hard,200,0.3333333333333333,0.44
118,hard,200,0.3333333333333333,0.29
119,hard,200,0.3333333333333333,0.01
120,hard,200,0.3333333333333333,0.02
121,hard,200,0.3333333333333333,0.025
122,hard,200,0.3333333333333333,0.0
123,medium,200,0.3333333333333333,0.28
124,medium,200,0.3333333333333333,0.535
125,medium,200,0.3333333333333333,0.36
126,hard,200,0.3333333333333333,0.055
127,easy,200,0.3333333333333333,0.565
128,easy,200,0.3333333333333333,0.485
129,medium,200,0.3333333333333333,0.275
130,medium,200,0.3333333333333333,0.265
131,easy,200,0.3333333333333333,0.49
132,hard,200,0.3333333333333333,0.275
133,hard,200,0.3333333333333333,0.23
134,hard,200,0.3333333333333333,0.005
135,hard,200,0.3333333333333333,0.23
136,medium,200,0.3333333333333333,0.485
137,medium,200,0.3333333333333333,0.415
138,medium,200,0.3333333333333333,0.25
139,medium,200,0.3333333333333333,0.305
140,medium,200,0.3333333333333333,0.365
141,easy,200,0.3333333333333333,0.065
142,easy,200,0.3333333333333333,0.315
143,easy,200,0.3333333333333333,0.33
144,medium,200,0.3333333333333333,0.34
145,medium,200,0.3333333333333333,0.31
146,medium,200,0.3333333333333333,0.335
147,easy,200,0.3333333333333333,0.195
148,medium,200,0.3333333333333333,0.34
149,medium,200,0.3333333333333333,0.47
150,easy,200,0.3333333333333333,0.035
151,medium,200,0.3333333333333333,0.15
