model	split	source_file	metric_path	value	source_directory
cut3r	easy	rcpe_metrics.json	per_bin.medium.translation_error_m	0.03062287561441306	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	per_bin.medium.translation_angular_deg	12.173250786221608	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	per_bin.medium.pose_error_max_deg	12.186541363658318	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	per_type.intra_phase.n_pairs	3376.0	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	per_type.intra_phase.rotation_error_deg	0.9462237572131393	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	per_type.intra_phase.translation_error_m	0.02960747987657287	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	per_type.intra_phase.translation_angular_deg	11.18984751625611	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	per_type.intra_phase.pose_error_max_deg	11.199468845333785	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	per_type.temporal_chain.n_pairs	3300.0	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	per_type.temporal_chain.rotation_error_deg	0.9803976187910531	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	per_type.temporal_chain.translation_error_m	0.030462422477732704	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	per_type.temporal_chain.translation_angular_deg	9.060303713427526	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	per_type.temporal_chain.pose_error_max_deg	9.071497915857039	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	temporal_drift.chains.__length__	330	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
